Catalyst,B.E.
Ag3Mo9,-2.166700318
Cd3Rh9,0.36783995
Pd3Y9,-3.863864941
Cd3Rh9,0.216592547
Pd3Y9,-3.879923059
Ag9Os3,2.184895754
In3Os9,-0.188220326
In3La9,-3.214451116
In3Os9,-0.694833435
Fe9Ta3,-1.672123892
In3La9,-2.898474975
Al3Tl9,1.385973333
Al3Tl9,-0.544213391
Hf3Ir9,-0.465756033
Al3Tl9,1.441669185
Al3Tl9,-0.522276798
Cr9Pd3,-2.419698567
Pt3Tl9,1.819906333
Cu9W3,0.706603311
Pt3Tl9,1.673989096
Co9Mo3,-0.922452988
Hg3Pt9,1.59093832
Au3W9,-2.031866822
Ag9Al3,2.246670357
Al3Cd9,1.053264641
Au3W9,-2.21814031
Ag9Al3,2.346134224
Ag9Al3,-0.078673689
Tc3Y9,-3.576300207
Al9Zn3,-2.055460044
Ag9Al3,-0.105449555
Tc3Y9,-3.593565422
Al9Zn3,-1.786514427
Tc3Y9,-2.473544046
Al9Zn3,-1.511532373
Tc3Y9,-2.560501288
Al9Zn3,-1.236585013
Cr3Ga9,0.412232873
Au3Tc9,-1.362720661
Ru3Tc9,-0.912623828
Co9Pd3,-0.178659198
Au3Tc9,-0.865067717
Ru3Tc9,-1.301233274
Cu9Zr3,0.611422108
Co9Pd3,-0.209939772
Re3W9,-1.995634048
Ga3Zn9,0.299161954
Ir3Sn9,1.079867714
La9Ru3,-3.153455302
Ru3Tc9,-0.573341681
Cu9Zr3,0.234186748
Re3W9,-2.061646553
Ga3Zn9,0.131256151
La9Ru3,-2.708495842
Ru3Tc9,-1.088476716
Cu9Zr3,-1.187750783
Re3W9,-1.764172248
Ga3Zn9,0.267839611
Cu9Zr3,-1.381266036
Re3W9,-1.996405627
Ag9La3,1.510073162
Cr9Zn3,-1.950897717
Ag9La3,0.19390492
Cr9Zn3,-2.152312162
Au3Ru9,-0.51841904
Ag9La3,-0.831524788
Au3Ru9,-0.687100504
Zn9Zr3,0.284960741
Au3Pd9,3.407226899
Ag9La3,-1.032479633
Os3Rh9,1.238437019
Os3Rh9,1.049437632
Zn9Zr3,-1.481881624
Hg9Ru3,2.577755074
Os3Rh9,0.079099411
Cr9Os3,-1.60109116
Rh3V9,-2.869524512
Ir9Pd3,0.330005786
Os9Pd3,-0.378573888
Zn9Zr3,-1.663083182
Os3Rh9,0.024032006
Rh3V9,-2.762193154
Os9Pd3,-0.794954457
Rh9Y3,0.323933838
Sn3Y9,-3.764268827
Rh9Y3,-0.272058736
Rh9Y3,-0.458006639
Ru3Zn9,0.993511435
Rh9Y3,-0.194695955
Pt9Ru3,1.683562469
Pt9Ru3,1.92654693
Al3Pt9,1.748657542
La3Os9,-1.275735119
Pt9Ru3,0.70876648
Pt9Ru3,0.876167512
Cd3Tl9,1.048545098
Cu3La9,-3.186234815
Pt9Rh3,1.437826258
Cu3La9,-2.775293122
Pt9Rh3,1.70999588
Tl3Y9,-3.864976935
Ti3Zr9,-3.351427372
Pt9Rh3,1.026031488
Au3Ir9,0.332022557
Ti3Zr9,-3.091397836
Pt9Rh3,1.359122228
Au3Ir9,0.278824574
Ir9Ta3,1.567986334
Ti3Zr9,-3.408908699
Ir9Ta3,0.818540196
Ti3Zr9,-3.143500017
Ga9Re3,0.091572565
Hf9V3,-3.391748656
Ir9Ta3,-0.548474014
Au9Rh3,2.42749803
Ir9Ta3,-0.315796001
Au9Rh3,3.091252936
Ag9Zn3,2.121296491
Cu3Pb9,1.713719622
Au9Rh3,1.608994298
Ag9Zn3,1.21103502
Au9Rh3,1.618585222
Al9Mo3,-1.484655009
La9Nb3,-1.92937256
Cd9Y3,0.986272527
Ag3Ru9,-0.566767547
Ga3Tl9,1.222032365
Ag3Ru9,-0.903589512
Nb3Tc9,-1.120989149
Ga3Tl9,1.274626799
Nb3Tc9,-1.56501349
Ga3Tl9,0.342476627
Al3Ta9,-2.666478744
Ag9V3,1.879083337
Pt3Ti9,-3.591213406
Nb3Tc9,-1.470182634
Pt3Zn9,0.493215993
Cd3La9,-2.959063162
Al3Ta9,-2.412102782
Pt3Ti9,-3.34342464
Nb3Tc9,-1.631516616
Pt3Zn9,0.366985648
Al3Ta9,-1.905831719
Y3Zn9,0.244310063
Al9Fe3,-1.570366378
Y3Zn9,-0.119870364
Y3Zn9,-1.01921558
Cu9Ru3,0.838451854
Cu9Ru3,1.512266672
Cu9Ru3,0.129282645
Cu9Ru3,-0.064585811
Sn9V3,0.990109196
Al9W3,-1.443360781
Al9W3,-1.050032881
Co9Re3,0.475174709
Co9Re3,-0.745567564
Co9Re3,-0.834613824
Cr9Zr3,-0.261047513
Pd9Zr3,-0.448753136
Pb9Ti3,1.152383331
Fe9W3,-0.666614822
In9Zn3,0.409575954
Au9Ir3,2.402791454
In9Zn3,0.530520623
Cd3Y9,-3.818098251
Au9Ir3,3.282661892
In9Zn3,0.306592703
Cd3Y9,-3.840102328
In9Zn3,0.363267893
